property_url,Rent,Sub-Type,Furnishing,Listed By,Car Parking,Meals Included,error
https://www.olx.in/en-in/item/pg-guest-houses-c1449-pg-for-boys-with-3-time-food-in-sector-61-mohali-iid-1797921748,"₹ 6,500",PG,Furnished,Owner,0,Yes,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-only-for-girls-rooms-available-in-independent-and-sharing-in-sector-63-mohali-iid-1712619926,"₹ 3,500",PG,Furnished,Owner,,No,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-ac-homely-pg-for-2-or-3-girls-in-sante-majra-kharar-iid-1808551579,"₹ 8,500",PG,Furnished,Owner,1,Yes,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-in-3195-new-ro-water-filter-deals-in-sale-service-amc-indl-ro-in-sector-117-mohali-iid-1809515710,"₹ 4,495",PG,Furnished,Dealer,1,No,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-pg-for-girls-in-45-phase-in-sector-59-phase-5-mohali-iid-1809496371,"₹ 5,999",PG,Furnished,Owner,1,Yes,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-studio-rooms-in-phase-2-mohali-iid-1807775548,"₹ 7,000",Guest Houses,Furnished,Dealer,1,No,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-pg-for-girls-nearby-sec-74-in-sector-74-mohali-iid-1809487188,"₹ 7,000",PG,Furnished,Owner,3+,Yes,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-it-includes-wifi-food-with-247-security-in-sector-61-mohali-iid-1809494984,"₹ 7,000",PG,Furnished,Owner,3,Yes,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-need-good-roommate-in-balongi-mohali-iid-1808872594,"₹ 2,600",Roommate,Semi-Furnished,Owner,0,No,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-opp-sec-74-pg-for-boys-without-food-in-sector-74-mohali-iid-1797633427,"₹ 6,500",PG,Furnished,Owner,3+,Yes,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-room-for-boys-3b2-mohali-in-sector-60-phase-3b2-mohali-iid-1809479119,"₹ 6,500",PG,Furnished,Owner,0,No,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-pg-for-girls-in-sector-69-mohali-iid-1809485611,"₹ 6,500",PG,Furnished,Owner,3+,Yes,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-pg-for-girls-with-best-food-or-247-gate-entry-or-attached-washroom-in-sector-61-mohali-iid-1809467842,"₹ 8,000",PG,Furnished,Owner,3+,Yes,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-pg-for-girls-2-seater-ac-room-3b2-in-sector-60-phase-3b2-mohali-iid-1808540167,"₹ 7,500",PG,Furnished,Owner,3+,Yes,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-independent-rooms-available-with-attached-washroom-in-sector-52-chandigarh-iid-1805248683,"₹ 9,000",Guest Houses,Semi-Furnished,Owner,3+,No,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-pg-for-boys-sector-58-59-60-74-in-industrial-area-phase-3-mohali-iid-1806944716,"₹ 5,500",PG,Furnished,Owner,3+,Yes,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-boys-pg-with-food-ac-pg-in-sector-59-mohali-iid-1807190475,"₹ 6,099",PG,Furnished,Owner,3+,Yes,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-pg-for-boys-sector-58-59-74-75-phase-1-3-5-7-8-in-sector-74-mohali-iid-1808198453,"₹ 5,500",PG,Furnished,Owner,3+,Yes,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-pg-for-boys-with-food-58-59-74-75-phase-1-3-5-7-8-in-industrial-area-phase-8b-mohali-iid-1808833954,"₹ 5,500",PG,Furnished,Owner,3+,Yes,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-pg-for-boys-phase-7-in-sector-61-mohali-iid-1783266435,"₹ 6,500",PG,Furnished,Owner,3,Yes,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-pg-for-boys-sector-with-food-58-59-74-75-phase-1-3-5-7-8-in-industrial-area-phase-3-mohali-iid-1808722356,"₹ 5,500",PG,Furnished,Owner,3+,Yes,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-pg-for-boys-sector-58-59-60-61-phase-1-3-5-7-8-in-industrial-area-phase-3-mohali-iid-1809142112,"₹ 5,500",PG,Furnished,Owner,3+,Yes,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-good-pg-for-boys-near-ind-area-ph8b-sec-74-in-sector-74-mohali-iid-1797560889,"₹ 6,500",PG,Furnished,Owner,3+,Yes,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-p-g-room-independent-or-sharing-in-sector-86-mohali-iid-1809196888,"₹ 5,000",PG,Furnished,Owner,3,No,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-independent-room-for-one-girl-on-sharing-basis-in-sector-86-mohali-iid-1809451954,"₹ 5,000",Roommate,Furnished,Owner,1,No,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-pg-only-for-girls-with-food-in-sector-70-mohali-iid-1809453099,"₹ 8,000",PG,Furnished,Owner,3+,Yes,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-pg-for-girls-sector-71and-60-near-industrial-area-in-industrial-area-phase-8-mohali-iid-1809449811,"₹ 6,000",PG,Furnished,Owner,3+,Yes,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-pg-and-guest-house-for-employees-in-industrial-area-phase-8-mohali-iid-1797150962,"₹ 10,000",Guest Houses,Furnished,Owner,3+,Yes,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-employee-guest-house-sharing-in-sector-71-mohali-iid-1797157011,"₹ 9,000",Guest Houses,Furnished,Owner,3+,Yes,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-corporate-house-walk-in-guest-house-in-industrial-area-phase-8-mohali-iid-1797153390,"₹ 9,000",Guest Houses,Furnished,Owner,3+,Yes,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-premium-guest-house-walk-in-in-industrial-area-phase-8-mohali-iid-1797149775,"₹ 9,000",Guest Houses,Furnished,Owner,3+,Yes,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-fully-furnished-pg-room-available-in-sector-56-chandigarh-in-sector-56-mohali-iid-1808214961,"₹ 12,000",PG,Furnished,Owner,0,No,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-premium-rooms-for-boys-and-girls-in-sector-74-mohali-iid-1797147824,"₹ 16,000",Guest Houses,Furnished,Owner,3+,Yes,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-independent-room-sohana-main-road-sector-78-mohali-in-sector-77-mohali-iid-1809440186,"₹ 7,500",PG,Semi-Furnished,Owner,0,No,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-well-furnished-luxury-pg-for-boys-in-phase-7-in-sector-61-mohali-iid-1790949221,"₹ 6,500",PG,Furnished,Owner,3+,Yes,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-well-furnished-luxury-pg-for-girls-in-3b1-near-janta-market-in-sector-71-mohali-iid-1731479754,"₹ 6,500",PG,Furnished,Owner,3+,Yes,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-pg-for-boys-in-3b2-and-phase-7-prime-locations-5500-in-sector-61-mohali-iid-1809428070,"₹ 5,500",PG,Furnished,Owner,,Yes,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-pg-for-rent-fully-furnished-in-mauli-mohali-iid-1807254734,"₹ 1,25,000",PG,Furnished,Dealer,3,Yes,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-well-furnished-pg-with-attached-washrooms-boys-girls-co-living-in-industrial-area-phase-8b-mohali-iid-1786104689,"₹ 8,500",PG,Furnished,Owner,3+,Yes,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-urgent-required-for-room-mate-in-balongi-mohali-iid-1808128289,"₹ 3,000",Roommate,Furnished,,3+,No,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-independent-room-fully-furnished-mohali-in-balongi-mohali-iid-1809148428,"₹ 5,500",PG,Semi-Furnished,Owner,1,No,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-pg-for-girls-in-sector-40-in-sector-40d-chandigarh-iid-1751560273,"₹ 3,500",PG,Semi-Furnished,Owner,0,No,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-ac-washing-machine-frigde-only-girl-in-sector-78-mohali-iid-1808781184,"₹ 3,500",Roommate,,,,,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-premium-pg-for-employees-in-sector-71-mohali-iid-1797196858,"₹ 9,000",PG,Furnished,Owner,3+,Yes,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-pg-for-girls-in-sector-60-mohali-iid-1765883316,"₹ 4,200",PG,Furnished,Owner,0,No,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-female-roommate-required-ac-room-on-1st-floor-in-3b1-mohali-in-sector-60-mohali-iid-1809381140,"₹ 4,500",Roommate,Furnished,Owner,0,No,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-without-food-pg-for-girls-sec-70-nearby-74-in-sector-74-mohali-iid-1809373068,"₹ 5,000",PG,Furnished,Owner,3+,No,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-cleanest-pg-for-boys-in-sec-60-and-59-opposite-to-sec74-7573-ph88b-in-sector-74-mohali-iid-1754620809,"₹ 7,000",PG,Furnished,Owner,3+,Yes,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-with-food-clean-pg-for-girls-in-sec-59-74-8b-in-sector-74-mohali-iid-1785335780,"₹ 7,000",PG,Furnished,Owner,3+,No,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-pg-for-boys-2-seater-in-sector-61-mohali-iid-1809342618,"₹ 7,000",PG,Furnished,Owner,2,Yes,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-ac-cooler-roomfridgeinvertorhome-cooked-food-in-sector-111-mohali-iid-1809342353,"₹ 7,000",PG,Semi-Furnished,,1,Yes,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-boy-roommate-cahiye-urgent-in-sector-70-mohali-iid-1809310988,"₹ 2,600",Roommate,Furnished,Owner,3+,No,
